Code point(s)	Character(s)	Tab completion sequence(s)	Unicode name(s)
U+00310	 ̐ 	\candra	Combining Candrabindu / Non-Spacing Candrabindu
U+00312	 ̒ 	\oturnedcomma	Combining Turned Comma Above / Non-Spacing Turned Comma Above
U+00315	 ̕ 	\ocommatopright	Combining Comma Above Right / Non-Spacing Comma Above Right
U+0031A	 ̚ 	\droang	Combining Left Angle Above / Non-Spacing Left Angle Above
U+00321	 ̡ 	\palh	Combining Palatalized Hook Below / Non-Spacing Palatalized Hook Below
U+00322	 ̢ 	\rh	Combining Retroflex Hook Below / Non-Spacing Retroflex Hook Below
U+00327	 ̧ 	\c	Combining Cedilla / Non-Spacing Cedilla
U+00328	 ̨ 	\k	Combining Ogonek / Non-Spacing Ogonek
U+0032A	 ̪ 	\sbbrg	Combining Bridge Below / Non-Spacing Bridge Below
U+00330	 ̰ 	\wideutilde	Combining Tilde Below / Non-Spacing Tilde Below
U+00332	 ̲ 	\underbar	Combining Low Line / Non-Spacing Underscore
U+00336	 ̶ 	\strike, \sout	Combining Long Stroke Overlay / Non-Spacing Long Bar Overlay
U+00338	 ̸ 	\not	Combining Long Solidus Overlay / Non-Spacing Long Slash Overlay
U+0034D	 ͍ 	\underleftrightarrow	Combining Left Right Arrow Below
U+00391	Α	\Alpha	Greek Capital Letter Alpha
U+00392	Β	\Beta	Greek Capital Letter Beta
U+00393	Γ	\Gamma	Greek Capital Letter Gamma
U+00394	Δ	\Delta	Greek Capital Letter Delta
U+00395	Ε	\Epsilon	Greek Capital Letter Epsilon
U+00396	Ζ	\Zeta	Greek Capital Letter Zeta
U+00397	Η	\Eta	Greek Capital Letter Eta
U+00398	Θ	\Theta	Greek Capital Letter Theta
U+00399	Ι	\Iota	Greek Capital Letter Iota
U+0039A	Κ	\Kappa	Greek Capital Letter Kappa
U+0039B	Λ	\Lambda	Greek Capital Letter Lamda / Greek Capital Letter Lambda
U+0039C	Μ	\upMu	Greek Capital Letter Mu
U+0039D	Ν	\upNu	Greek Capital Letter Nu
U+0039E	Ξ	\Xi	Greek Capital Letter Xi
U+0039F	Ο	\upOmicron	Greek Capital Letter Omicron
U+003A0	Π	\Pi	Greek Capital Letter Pi
U+003A1	Ρ	\Rho	Greek Capital Letter Rho
U+003A3	Σ	\Sigma	Greek Capital Letter Sigma
U+003A4	Τ	\Tau	Greek Capital Letter Tau
U+003A5	Υ	\Upsilon	Greek Capital Letter Upsilon
U+003A6	Φ	\Phi	Greek Capital Letter Phi
U+003A7	Χ	\Chi	Greek Capital Letter Chi
U+003A8	Ψ	\Psi	Greek Capital Letter Psi
U+003A9	Ω	\Omega	Greek Capital Letter Omega
U+003B1	α	\alpha	Greek Small Letter Alpha
U+003B2	β	\beta	Greek Small Letter Beta
U+003B3	γ	\gamma	Greek Small Letter Gamma
U+003B4	δ	\delta	Greek Small Letter Delta
U+003B5	ε	\upepsilon, \varepsilon	Greek Small Letter Epsilon
U+003B6	ζ	\zeta	Greek Small Letter Zeta
U+003B7	η	\eta	Greek Small Letter Eta
U+003B8	θ	\theta	Greek Small Letter Theta
U+003B9	ι	\iota	Greek Small Letter Iota
U+003BA	κ	\kappa	Greek Small Letter Kappa
U+003BB	λ	\lambda	Greek Small Letter Lamda / Greek Small Letter Lambda
U+003BC	μ	\mu	Greek Small Letter Mu
U+003BD	ν	\nu	Greek Small Letter Nu
U+003BE	ξ	\xi	Greek Small Letter Xi
U+003BF	ο	\upomicron	Greek Small Letter Omicron
U+003C0	π	\pi	Greek Small Letter Pi
U+003C1	ρ	\rho	Greek Small Letter Rho
U+003C2	ς	\varsigma	Greek Small Letter Final Sigma
U+003C3	σ	\sigma	Greek Small Letter Sigma
U+003C4	τ	\tau	Greek Small Letter Tau
U+003C5	υ	\upsilon	Greek Small Letter Upsilon
U+003C6	φ	\varphi	Greek Small Letter Phi
U+003C7	χ	\chi	Greek Small Letter Chi
U+003C8	ψ	\psi	Greek Small Letter Psi
U+003C9	ω	\omega	Greek Small Letter Omega
U+003D0	ϐ	\upvarbeta	Greek Beta Symbol / Greek Small Letter Curled Beta
U+003D1	ϑ	\vartheta	Greek Theta Symbol / Greek Small Letter Script Theta
U+003D5	ϕ	\phi	Greek Phi Symbol / Greek Small Letter Script Phi
U+003D6	ϖ	\varpi	Greek Pi Symbol / Greek Small Letter Omega Pi
U+003D8	Ϙ	\upoldKoppa	Greek Letter Archaic Koppa
U+003D9	ϙ	\upoldkoppa	Greek Small Letter Archaic Koppa
U+003DA	Ϛ	\Stigma	Greek Letter Stigma / Greek Capital Letter Stigma
U+003DB	ϛ	\upstigma	Greek Small Letter Stigma
U+003DC	Ϝ	\Digamma	Greek Letter Digamma / Greek Capital Letter Digamma
U+003DD	ϝ	\digamma	Greek Small Letter Digamma
U+003DE	Ϟ	\Koppa	Greek Letter Koppa / Greek Capital Letter Koppa
U+003DF	ϟ	\upkoppa	Greek Small Letter Koppa
U+003E0	Ϡ	\Sampi	Greek Letter Sampi / Greek Capital Letter Sampi
U+003E1	ϡ	\upsampi	Greek Small Letter Sampi
U+003F0	ϰ	\varkappa	Greek Kappa Symbol / Greek Small Letter Script Kappa
U+003F1	ϱ	\varrho	Greek Rho Symbol / Greek Small Letter Tailed Rho
U+003F4	ϴ	\varTheta	Greek Capital Theta Symbol
U+003F5	ϵ	\epsilon	Greek Lunate Epsilon Symbol
U+003F6	϶	\backepsilon	Greek Reversed Lunate Epsilon Symbol
U+01D2C	ᴬ	\^A	Modifier Letter Capital A
U+01D2E	ᴮ	\^B	Modifier Letter Capital B
U+01D30	ᴰ	\^D	Modifier Letter Capital D
U+01D31	ᴱ	\^E	Modifier Letter Capital E
U+01D33	ᴳ	\^G	Modifier Letter Capital G
U+01D34	ᴴ	\^H	Modifier Letter Capital H
U+01D35	ᴵ	\^I	Modifier Letter Capital I
U+01D36	ᴶ	\^J	Modifier Letter Capital J
U+01D37	ᴷ	\^K	Modifier Letter Capital K
U+01D38	ᴸ	\^L	Modifier Letter Capital L
U+01D39	ᴹ	\^M	Modifier Letter Capital M
U+01D3A	ᴺ	\^N	Modifier Letter Capital N
U+01D3C	ᴼ	\^O	Modifier Letter Capital O
U+01D3E	ᴾ	\^P	Modifier Letter Capital P
U+01D3F	ᴿ	\^R	Modifier Letter Capital R
U+01D40	ᵀ	\^T	Modifier Letter Capital T
U+01D41	ᵁ	\^U	Modifier Letter Capital U
U+01D42	ᵂ	\^W	Modifier Letter Capital W
U+01D43	ᵃ	\^a	Modifier Letter Small A
U+01D45	ᵅ	\^alpha	Modifier Letter Small Alpha
U+01D47	ᵇ	\^b	Modifier Letter Small B
U+01D48	ᵈ	\^d	Modifier Letter Small D
U+01D49	ᵉ	\^e	Modifier Letter Small E
U+01D4B	ᵋ	\^epsilon	Modifier Letter Small Open E
U+01D4D	ᵍ	\^g	Modifier Letter Small G
U+01D4F	ᵏ	\^k	Modifier Letter Small K
U+01D50	ᵐ	\^m	Modifier Letter Small M
U+01D52	ᵒ	\^o	Modifier Letter Small O
U+01D56	ᵖ	\^p	Modifier Letter Small P
U+01D57	ᵗ	\^t	Modifier Letter Small T
U+01D58	ᵘ	\^u	Modifier Letter Small U
U+01D5B	ᵛ	\^v	Modifier Letter Small V
U+01D5D	ᵝ	\^beta	Modifier Letter Small Beta
U+01D5E	ᵞ	\^gamma	Modifier Letter Small Greek Gamma
U+01D5F	ᵟ	\^delta	Modifier Letter Small Delta
U+01D60	ᵠ	\^phi	Modifier Letter Small Greek Phi
U+01D61	ᵡ	\^chi	Modifier Letter Small Chi
U+01D62	ᵢ	\_i	Latin Subscript Small Letter I
U+01D63	ᵣ	\_r	Latin Subscript Small Letter R
U+01D64	ᵤ	\_u	Latin Subscript Small Letter U
U+01D65	ᵥ	\_v	Latin Subscript Small Letter V
U+01D66	ᵦ	\_beta	Greek Subscript Small Letter Beta
U+01D67	ᵧ	\_gamma	Greek Subscript Small Letter Gamma
U+01D68	ᵨ	\_rho	Greek Subscript Small Letter Rho
U+01D69	ᵩ	\_phi	Greek Subscript Small Letter Phi
U+01D6A	ᵪ	\_chi	Greek Subscript Small Letter Chi
U+01D9C	ᶜ	\^c	Modifier Letter Small C
U+01DA0	ᶠ	\^f	Modifier Letter Small F
U+01DA5	ᶥ	\^iota	Modifier Letter Small Iota
U+01DB2	ᶲ	\^Phi	Modifier Letter Small Phi
U+01DBB	ᶻ	\^z	Modifier Letter Small Z
U+01DBF	ᶿ	\^theta	Modifier Letter Small Theta
U+02002	 	\enspace	En Space
U+02003	 	\quad	Em Space
U+02005	 	\thickspace	Four-Per-Em Space
U+02009	 	\thinspace	Thin Space
U+0200A	 	\hspace	Hair Space
U+02013	–	\endash	En Dash
U+02014	—	\emdash	Em Dash
U+02016	‖	\Vert	Double Vertical Line / Double Vertical Bar
U+02018	‘	\lq	Left Single Quotation Mark / Single Turned Comma Quotation Mark
U+02019	’	\rq	Right Single Quotation Mark / Single Comma Quotation Mark
U+0201B	‛	\reapos	Single High-Reversed-9 Quotation Mark / Single Reversed Comma Quotation Mark
U+0201C	“	\quotedblleft	Left Double Quotation Mark / Double Turned Comma Quotation Mark
U+0201D	”	\quotedblright	Right Double Quotation Mark / Double Comma Quotation Mark
U+02020	†	\dagger	Dagger
U+02021	‡	\ddagger	Double Dagger
U+02022	•	\bullet	Bullet
U+02026	…	\dots, \ldots	Horizontal Ellipsis
U+02030	‰	\perthousand	Per Mille Sign
U+02031	‱	\pertenthousand	Per Ten Thousand Sign
U+02032	′	\prime	Prime
U+02033	″	\pprime	Double Prime
U+02034	‴	\ppprime	Triple Prime
U+02035	‵	\backprime	Reversed Prime
U+02036	‶	\backpprime	Reversed Double Prime
U+02037	‷	\backppprime	Reversed Triple Prime
U+02039	‹	\guilsinglleft	Single Left-Pointing Angle Quotation Mark / Left Pointing Single Guillemet
U+0203A	›	\guilsinglright	Single Right-Pointing Angle Quotation Mark / Right Pointing Single Guillemet
U+0203C	‼	\:bangbang:	Double Exclamation Mark
U+02040	⁀	\tieconcat	Character Tie
U+02049	⁉	\:interrobang:	Exclamation Question Mark
U+02057	⁗	\pppprime	Quadruple Prime
U+0205D	⁝	\tricolon	Tricolon
U+02060	⁠	\nolinebreak	Word Joiner
U+02070	⁰	\^0	Superscript Zero / Superscript Digit Zero
U+02071	ⁱ	\^i	Superscript Latin Small Letter I
U+02074	⁴	\^4	Superscript Four / Superscript Digit Four
U+02075	⁵	\^5	Superscript Five / Superscript Digit Five
U+02076	⁶	\^6	Superscript Six / Superscript Digit Six
U+02077	⁷	\^7	Superscript Seven / Superscript Digit Seven
U+02078	⁸	\^8	Superscript Eight / Superscript Digit Eight
U+02079	⁹	\^9	Superscript Nine / Superscript Digit Nine
U+0207A	⁺	\^+	Superscript Plus Sign
U+0207B	⁻	\^-	Superscript Minus / Superscript Hyphen-Minus
U+0207C	⁼	\^=	Superscript Equals Sign
U+0207D	⁽	\^(	Superscript Left Parenthesis / Superscript Opening Parenthesis
U+0207E	⁾	\^)	Superscript Right Parenthesis / Superscript Closing Parenthesis
U+0207F	ⁿ	\^n	Superscript Latin Small Letter N
U+02080	₀	\_0	Subscript Zero / Subscript Digit Zero
U+02081	₁	\_1	Subscript One / Subscript Digit One
U+02082	₂	\_2	Subscript Two / Subscript Digit Two
U+02083	₃	\_3	Subscript Three / Subscript Digit Three
U+02084	₄	\_4	Subscript Four / Subscript Digit Four
U+02085	₅	\_5	Subscript Five / Subscript Digit Five
U+02086	₆	\_6	Subscript Six / Subscript Digit Six
U+02087	₇	\_7	Subscript Seven / Subscript Digit Seven
U+02088	₈	\_8	Subscript Eight / Subscript Digit Eight
U+02089	₉	\_9	Subscript Nine / Subscript Digit Nine
U+0208A	₊	\_+	Subscript Plus Sign
U+0208B	₋	\_-	Subscript Minus / Subscript Hyphen-Minus
U+0208C	₌	\_=	Subscript Equals Sign
U+0208D	₍	\_(	Subscript Left Parenthesis / Subscript Opening Parenthesis
U+0208E	₎	\_)	Subscript Right Parenthesis / Subscript Closing Parenthesis
U+02090	ₐ	\_a	Latin Subscript Small Letter A
U+02091	ₑ	\_e	Latin Subscript Small Letter E
U+02092	ₒ	\_o	Latin Subscript Small Letter O
U+02093	ₓ	\_x	Latin Subscript Small Letter X
U+02094	ₔ	\_schwa	Latin Subscript Small Letter Schwa
U+02095	ₕ	\_h	Latin Subscript Small Letter H
U+02096	ₖ	\_k	Latin Subscript Small Letter K
U+02097	ₗ	\_l	Latin Subscript Small Letter L
U+02098	ₘ	\_m	Latin Subscript Small Letter M
U+02099	ₙ	\_n	Latin Subscript Small Letter N
U+0209A	ₚ	\_p	Latin Subscript Small Letter P
U+0209B	ₛ	\_s	Latin Subscript Small Letter S
U+0209C	ₜ	\_t	Latin Subscript Small Letter T
U+020A7	₧	\pes	Peseta Sign
U+020AC	€	\euro	Euro Sign
U+020D0	 ⃐ 	\leftharpoonaccent	Combining Left Harpoon Above / Non-Spacing Left Harpoon Above
U+020D1	 ⃑ 	\rightharpoonaccent	Combining Right Harpoon Above / Non-Spacing Right Harpoon Above
U+020D2	 ⃒ 	\vertoverlay	Combining Long Vertical Line Overlay / Non-Spacing Long Vertical Bar Overlay
U+020D6	 ⃖ 	\overleftarrow	Combining Left Arrow Above / Non-Spacing Left Arrow Above
U+020D7	 ⃗ 	\vec	Combining Right Arrow Above / Non-Spacing Right Arrow Above
U+020DB	 ⃛ 	\dddot	Combining Three Dots Above / Non-Spacing Three Dots Above
U+020DC	 ⃜ 	\ddddot	Combining Four Dots Above / Non-Spacing Four Dots Above
U+020DD	 ⃝ 	\enclosecircle	Combining Enclosing Circle / Enclosing Circle
U+020DE	 ⃞ 	\enclosesquare	Combining Enclosing Square / Enclosing Square
U+020DF	 ⃟ 	\enclosediamond	Combining Enclosing Diamond / Enclosing Diamond
U+020E1	 ⃡ 	\overleftrightarrow	Combining Left Right Arrow Above / Non-Spacing Left Right Arrow Above
U+020E4	 ⃤ 	\enclosetriangle	Combining Enclosing Upward Pointing Triangle
U+020E7	 ⃧ 	\annuity	Combining Annuity Symbol
U+020E8	 ⃨ 	\threeunderdot	Combining Triple Underdot
U+020E9	 ⃩ 	\widebridgeabove	Combining Wide Bridge Above
U+020EC	 ⃬ 	\underrightharpoondown	Combining Rightwards Harpoon With Barb Downwards
U+020ED	 ⃭ 	\underleftharpoondown	Combining Leftwards Harpoon With Barb Downwards
U+020EE	 ⃮ 	\underleftarrow	Combining Left Arrow Below
U+020EF	 ⃯ 	\underrightarrow	Combining Right Arrow Below
U+020F0	 ⃰ 	\asteraccent	Combining Asterisk Above
U+02102	ℂ	\bbC	Double-Struck Capital C / Double-Struck C
U+02107	ℇ	\eulermascheroni	Euler Constant / Eulers
U+0210A	ℊ	\scrg	Script Small G
U+0210B	ℋ	\scrH	Script Capital H / Script H
U+0210C	ℌ	\frakH	Black-Letter Capital H / Black-Letter H
U+0210D	ℍ	\bbH	Double-Struck Capital H / Double-Struck H
U+0210E	ℎ	\ith, \planck	Planck Constant
U+0210F	ℏ	\hslash	Planck Constant Over Two Pi / Planck Constant Over 2 Pi
U+02110	ℐ	\scrI	Script Capital I / Script I
U+02111	ℑ	\Im	Black-Letter Capital I / Black-Letter I
U+02112	ℒ	\scrL	Script Capital L / Script L
U+02113	ℓ	\ell	Script Small L
U+02115	ℕ	\bbN	Double-Struck Capital N / Double-Struck N
U+02116	№	\numero	Numero Sign / Numero
U+02118	℘	\wp	Script Capital P / Script P
U+02119	ℙ	\bbP	Double-Struck Capital P / Double-Struck P
U+0211A	ℚ	\bbQ	Double-Struck Capital Q / Double-Struck Q
U+0211B	ℛ	\scrR	Script Capital R / Script R
U+0211C	ℜ	\Re	Black-Letter Capital R / Black-Letter R
U+0211D	ℝ	\bbR	Double-Struck Capital R / Double-Struck R
U+0211E	℞	\xrat	Prescription Take
U+02122	™	\trademark, \:tm:	Trade Mark Sign / Trademark
U+02124	ℤ	\bbZ	Double-Struck Capital Z / Double-Struck Z
U+02126	Ω	\ohm	Ohm Sign / Ohm
U+02127	℧	\mho	Inverted Ohm Sign / Mho
U+02128	ℨ	\frakZ	Black-Letter Capital Z / Black-Letter Z
U+02129	℩	\turnediota	Turned Greek Small Letter Iota
U+0212B	Å	\Angstrom	Angstrom Sign / Angstrom Unit
U+0212C	ℬ	\scrB	Script Capital B / Script B
U+0212D	ℭ	\frakC	Black-Letter Capital C / Black-Letter C
U+0212F	ℯ	\scre, \euler	Script Small E
U+02130	ℰ	\scrE	Script Capital E / Script E
U+02131	ℱ	\scrF	Script Capital F / Script F
U+02132	Ⅎ	\Finv	Turned Capital F / Turned F
U+02133	ℳ	\scrM	Script Capital M / Script M
U+02134	ℴ	\scro	Script Small O
U+02135	ℵ	\aleph	Alef Symbol / First Transfinite Cardinal
U+02136	ℶ	\beth	Bet Symbol / Second Transfinite Cardinal
U+02137	ℷ	\gimel	Gimel Symbol / Third Transfinite Cardinal
U+02138	ℸ	\daleth	Dalet Symbol / Fourth Transfinite Cardinal
U+02139	ℹ	\:information_source:	Information Source
U+0213C	ℼ	\bbpi	Double-Struck Small Pi
U+0213D	ℽ	\bbgamma	Double-Struck Small Gamma
U+0213E	ℾ	\bbGamma	Double-Struck Capital Gamma
U+0213F	ℿ	\bbPi	Double-Struck Capital Pi
U+02140	⅀	\bbsum	Double-Struck N-Ary Summation
U+02141	⅁	\Game	Turned Sans-Serif Capital G
U+02142	⅂	\sansLturned	Turned Sans-Serif Capital L
U+02143	⅃	\sansLmirrored	Reversed Sans-Serif Capital L
U+02144	⅄	\Yup	Turned Sans-Serif Capital Y
U+02145	ⅅ	\bbiD	Double-Struck Italic Capital D
U+02146	ⅆ	\bbid	Double-Struck Italic Small D
U+02147	ⅇ	\bbie	Double-Struck Italic Small E
U+02148	ⅈ	\bbii	Double-Struck Italic Small I
U+02149	ⅉ	\bbij	Double-Struck Italic Small J
U+0214A	⅊	\PropertyLine	Property Line
U+0214B	⅋	\upand	Turned Ampersand
U+02150	⅐	\1/7	Vulgar Fraction One Seventh
U+02151	⅑	\1/9	Vulgar Fraction One Ninth
U+02152	⅒	\1/10	Vulgar Fraction One Tenth
U+02153	⅓	\1/3	Vulgar Fraction One Third / Fraction One Third
U+02154	⅔	\2/3	Vulgar Fraction Two Thirds / Fraction Two Thirds
U+02155	⅕	\1/5	Vulgar Fraction One Fifth / Fraction One Fifth
U+02156	⅖	\2/5	Vulgar Fraction Two Fifths / Fraction Two Fifths
U+02157	⅗	\3/5	Vulgar Fraction Three Fifths / Fraction Three Fifths
U+02158	⅘	\4/5	Vulgar Fraction Four Fifths / Fraction Four Fifths
U+02159	⅙	\1/6	Vulgar Fraction One Sixth / Fraction One Sixth
U+0215A	⅚	\5/6	Vulgar Fraction Five Sixths / Fraction Five Sixths
U+0215B	⅛	\1/8	Vulgar Fraction One Eighth / Fraction One Eighth
U+0215C	⅜	\3/8	Vulgar Fraction Three Eighths / Fraction Three Eighths
U+0215D	⅝	\5/8	Vulgar Fraction Five Eighths / Fraction Five Eighths
U+0215E	⅞	\7/8	Vulgar Fraction Seven Eighths / Fraction Seven Eighths
U+0215F	⅟	\1/	Fraction Numerator One
U+02189	↉	\0/3	Vulgar Fraction Zero Thirds
U+02190	←	\leftarrow	Leftwards Arrow / Left Arrow
U+02191	↑	\uparrow	Upwards Arrow / Up Arrow
U+02192	→	\to, \rightarrow	Rightwards Arrow / Right Arrow
